league,date,home_team,away_team,bookie,market,bet,odds
EPL,2024-01-31T19:30:00Z,Tottenham Hotspur,Brentford,Betfair Sportsbook,totals,under2.5,2.4
EPL,2024-01-31T19:30:00Z,Tottenham Hotspur,Brentford,William Hill,totals,over2.5,1.53
EPL,2024-01-31T19:30:00Z,Tottenham Hotspur,Brentford,William Hill,totals,under2.5,2.38
EPL,2024-01-31T19:30:00Z,Tottenham Hotspur,Brentford,Coral,totals,over2.5,1.5
EPL,2024-01-31T19:30:00Z,Tottenham Hotspur,Brentford,Coral,totals,under2.5,2.45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-01-31T19:30:00Z,Manchester City,Burnley,Betfair Sportsbook,totals,over2.5,1.29
EPL,2024-01-31T19:30:00Z,Manchester City,Burnley,Betfair Sportsbook,totals,under2.5,3.3
EPL,2024-01-31T19:30:00Z,Manchester City,Burnley,William Hill,totals,over2.5,1.36
EPL,2024-01-31T19:30:00Z,Manchester City,Burnley,William Hill,totals,under2.5,3.0
EPL,2024-01-31T19:30:00Z,Manchester City,Burnley,Coral,totals,over2.5,1.33
EPL,2024-01-31T19:30:00Z,Manchester City,Burnley,Coral,totals,under2.5,3.1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-01-31T20:15:00Z,Liverpool,Chelsea,Betfair Sportsbook,totals,over2.5,1.5
EPL,2024-01-31T20:15:00Z,Liverpool,Chelsea,Betfair Sportsbook,totals,under2.5,2.4
EPL,2024-01-31T20:15:00Z,Liverpool,Chelsea,William Hill,totals,over2.5,1.57
EPL,2024-01-31T20:15:00Z,Liverpool,Chelsea,William Hill,totals,under2.5,2.3
EPL,2024-01-31T20:15:00Z,Liverpool,Chelsea,Coral,totals,over2.5,1.53
EPL,2024-01-31T20:15:00Z,Liverpool,Chelsea,Coral,totals,under2.5,2.4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Betfair Sportsbook,totals,over2.5,1.6
